loan_percent_income,loan_grade,person_income,person_home_ownership,loan_int_rate,loan_status
0.59,3,59000,0,16.02,1
0.1,1,9600,2,11.14,0
0.57,2,9600,1,12.87,1
0.53,2,65500,0,15.23,1
0.55,2,54400,0,14.27,1
0.25,0,9900,2,7.14,1
0.45,1,77100,0,12.42,1
0.44,1,78956,0,11.11,1
0.42,0,83000,0,8.9,1
0.16,3,10000,2,14.74,1
0.41,1,85000,0,10.37,1
0.45,0,10000,2,8.63,1
0.37,0,95000,0,7.9,1
0.32,4,108160,0,18.39,1
0.3,0,115000,0,7.9,0
0.06,1,500000,1,10.65,0
0.29,0,120000,0,7.9,0
0.32,5,92111,0,20.25,1
0.31,3,113000,0,18.25,1
0.16,1,10800,1,10.99,1
0.22,0,162500,0,7.49,0
0.25,4,137000,0,16.77,0
0.52,3,65000,0,17.58,1
0.14,0,10980,2,7.29,0
0.42,3,80000,0,14.54,1
0.49,2,67746,0,12.68,1
0.42,4,11000,1,17.74,1
0.13,0,11000,2,9.32,0
0.5,1,65000,0,9.99,1
0.35,2,11389,3,12.84,1
0.17,1,11520,2,11.12,1
0.27,0,120000,0,6.62,0
0.33,2,95000,0,14.17,1
0.08,2,306000,0,13.85,0
0.03,2,300000,1,13.49,0
0.21,0,12000,2,7.51,1
0.63,4,48000,0,18.39,1
0.47,3,64000,0,14.54,1
0.4,3,75000,0,16.89,1
0.42,3,71500,0,11.077177051964604,1
0.41,4,62050,0,17.99,1
0.21,1,12000,2,12.69,1
0.07,0,300000,1,7.88,0
0.08,5,300000,2,19.41,0
0.03,1,300000,2,10.38,0
0.08,3,300000,1,15.33,0
0.06,4,300000,1,16.45,0
0.37,0,80690,0,7.49,1
0.38,1,66300,0,12.69,1
0.34,0,89028,0,6.62,1
0.38,3,78000,0,11.077177051964604,1
0.38,5,78000,0,18.62,1
0.33,2,92004,0,15.23,1
0.31,1,97000,0,10.65,1
0.25,0,120000,0,7.9,0
0.04,2,280000,0,15.96,0
0.07,1,277104,0,11.48,0
0.13,0,277000,2,11.077177051964604,0
0.23,0,128000,0,7.29,0
0.15,4,12000,2,11.077177051964604,0
0.23,0,131000,0,5.99,0
0.04,1,275000,2,11.58,0
0.04,1,263000,1,11.077177051964604,1
0.1,3,221850,1,15.7,1
0.42,3,70000,0,15.99,1
0.13,3,12000,1,14.84,0
0.11,1,260000,2,10.99,0
0.08,3,259000,1,14.42,0
0.04,0,255000,1,6.99,0
0.1,2,250000,0,13.49,0
0.25,2,12000,2,11.077177051964604,1
0.49,0,56950,0,11.077177051964604,1
0.25,2,12000,2,13.61,1
0.43,0,65000,0,7.9,1
0.33,0,85000,0,7.49,1
0.51,0,12000,2,7.51,1
0.32,1,88000,0,9.91,1
0.35,2,12000,2,13.48,1
0.4,0,12000,2,7.14,1
0.34,3,83004,0,15.99,1
0.07,2,250000,0,12.98,0
0.02,2,250000,0,13.57,0
0.28,1,100000,0,12.69,0
0.25,0,110000,0,8.9,0
0.23,0,12000,2,11.077177051964604,1
0.26,1,108000,0,11.077177051964604,1
0.19,1,151200,0,11.11,0
0.4,0,69000,0,11.077177051964604,1
0.27,4,12000,1,15.68,1
0.39,2,70000,0,13.06,1
0.1,1,240000,2,11.077177051964604,0
0.37,3,73200,0,15.62,1
0.33,2,83000,0,13.49,1
0.37,3,73399,0,11.077177051964604,1
0.42,1,62500,0,11.71,1
0.21,1,120000,0,12.69,0
0.13,2,12360,2,13.57,0
0.42,1,60000,0,10.99,1
0.09,2,234000,1,14.27,0
0.09,1,234000,2,8.88,0
0.09,1,234000,1,12.18,0
0.05,3,221004,1,14.42,1
0.11,2,232500,1,14.17,0
0.15,2,230000,1,13.99,0
0.3,1,83000,0,10.99,1
0.16,0,12600,1,5.42,1
0.14,2,12600,2,13.61,0
0.59,2,42500,0,12.73,1
0.61,3,41000,0,11.077177051964604,1
0.23,2,12816,2,12.87,1
0.28,1,12960,1,9.91,1
0.09,1,226000,1,11.49,0
0.13,4,225000,1,19.91,0
0.16,1,213000,1,10.65,1
0.03,1,225000,0,11.077177051964604,0
0.35,1,12960,1,11.83,1
0.18,2,12996,2,13.49,1
0.6,3,42000,0,14.59,1
0.52,1,48000,0,9.64,1
0.28,3,12996,2,14.59,1
0.37,1,12996,2,11.077177051964604,1
0.59,4,42360,0,16.35,1
0.51,1,49000,0,10.99,1
0.11,5,225000,1,18.67,0
0.01,0,225000,0,9.32,0
0.03,0,225000,0,8.63,0
0.11,1,225000,1,10.08,0
0.51,1,49464,0,11.83,1
0.5,0,50000,0,7.9,1
0.5,0,50000,0,5.99,1
0.57,3,44000,0,15.33,1
0.5,1,50000,0,11.83,1
0.5,1,50004,0,10.36,1
0.5,2,50004,0,12.23,1
0.48,1,52000,0,11.11,1
0.38,0,13200,2,7.9,1
0.11,1,220000,1,11.58,0
0.1,0,216000,1,8.9,0
0.12,3,216000,1,16.07,0
0.09,2,216000,1,14.22,0
0.16,2,215000,1,14.79,0
0.06,0,215000,1,7.88,0
0.48,2,52000,0,13.22,1
0.54,3,46000,0,11.86,1
0.47,2,53000,0,13.43,1
0.53,3,47000,0,15.28,1
0.53,4,47000,0,17.93,1
0.11,1,13200,1,9.25,0
0.34,2,13200,2,12.98,1
0.08,1,210000,1,10.62,0
0.1,1,210000,2,11.83,0
0.52,5,48000,0,18.43,1
0.45,1,54996,0,11.077177051964604,1
0.45,3,55000,0,11.077177051964604,1
0.45,1,55000,0,11.36,1
0.45,3,55000,0,15.65,1
0.45,2,55164,0,13.22,1
0.45,2,56000,0,12.87,1
0.1,2,203500,2,13.04,0
0.12,5,190000,1,17.58,1
0.56,4,13920,2,17.04,1
0.42,1,60000,0,11.11,1
0.46,3,54000,0,14.83,1
0.29,3,14000,2,11.077177051964604,1
0.06,1,200000,0,12.69,0
0.06,2,200000,1,13.49,0
0.08,2,200000,1,14.65,0
0.46,4,54000,0,16.82,1
0.42,2,60000,0,12.73,1
0.42,1,60000,0,10.25,1
0.4,2,61959,0,12.73,1
0.44,3,56400,0,14.96,1
0.14,0,200000,1,11.077177051964604,0
0.13,2,200000,1,13.99,0
0.12,0,200000,1,7.49,0
0.07,2,200000,1,14.79,0
0.08,1,200000,1,11.99,0
0.05,0,200000,0,8.49,0
0.38,1,66000,0,9.91,1
0.38,2,66000,0,13.06,1
0.04,0,200000,1,6.17,0
0.03,1,200000,1,11.86,0
0.09,3,200000,0,16.32,0
