loan_percent_income,loan_grade,person_income,person_home_ownership,loan_int_rate,loan_status
0.59,D,59000,RENT,16.02,1
0.1,B,9600,OWN,11.14,0
0.57,C,9600,MORTGAGE,12.87,1
0.53,C,65500,RENT,15.23,1
0.55,C,54400,RENT,14.27,1
0.25,A,9900,OWN,7.14,1
0.45,B,77100,RENT,12.42,1
0.44,B,78956,RENT,11.11,1
0.42,A,83000,RENT,8.9,1
0.16,D,10000,OWN,14.74,1
0.41,B,85000,RENT,10.37,1
0.45,A,10000,OWN,8.63,1
0.37,A,95000,RENT,7.9,1
0.32,E,108160,RENT,18.39,1
0.3,A,115000,RENT,7.9,0
0.06,B,500000,MORTGAGE,10.65,0
0.29,A,120000,RENT,7.9,0
0.32,F,92111,RENT,20.25,1
0.31,D,113000,RENT,18.25,1
0.16,B,10800,MORTGAGE,10.99,1
0.22,A,162500,RENT,7.49,0
0.25,E,137000,RENT,16.77,0
0.52,D,65000,RENT,17.58,1
0.14,A,10980,OWN,7.29,0
0.42,D,80000,RENT,14.54,1
0.49,C,67746,RENT,12.68,1
0.42,E,11000,MORTGAGE,17.74,1
0.13,A,11000,OWN,9.32,0
0.5,B,65000,RENT,9.99,1
0.35,C,11389,OTHER,12.84,1
0.17,B,11520,OWN,11.12,1
0.27,A,120000,RENT,6.62,0
0.33,C,95000,RENT,14.17,1
0.08,C,306000,RENT,13.85,0
0.03,C,300000,MORTGAGE,13.49,0
0.21,A,12000,OWN,7.51,1
0.63,E,48000,RENT,18.39,1
0.47,D,64000,RENT,14.54,1
0.4,D,75000,RENT,16.89,1
0.42,D,71500,RENT,,1
0.41,E,62050,RENT,17.99,1
0.21,B,12000,OWN,12.69,1
0.07,A,300000,MORTGAGE,7.88,0
0.08,F,300000,OWN,19.41,0
0.03,B,300000,OWN,10.38,0
0.08,D,300000,MORTGAGE,15.33,0
0.06,E,300000,MORTGAGE,16.45,0
0.37,A,80690,RENT,7.49,1
0.38,B,66300,RENT,12.69,1
0.34,A,89028,RENT,6.62,1
0.38,D,78000,RENT,,1
0.38,F,78000,RENT,18.62,1
0.33,C,92004,RENT,15.23,1
0.31,B,97000,RENT,10.65,1
0.25,A,120000,RENT,7.9,0
0.04,C,280000,RENT,15.96,0
0.07,B,277104,RENT,11.48,0
0.13,A,277000,OWN,,0
0.23,A,128000,RENT,7.29,0
0.15,E,12000,OWN,,0
0.23,A,131000,RENT,5.99,0
0.04,B,275000,OWN,11.58,0
0.04,B,263000,MORTGAGE,,1
0.1,D,221850,MORTGAGE,15.7,1
0.42,D,70000,RENT,15.99,1
0.13,D,12000,MORTGAGE,14.84,0
0.11,B,260000,OWN,10.99,0
0.08,D,259000,MORTGAGE,14.42,0
0.04,A,255000,MORTGAGE,6.99,0
0.1,C,250000,RENT,13.49,0
0.25,C,12000,OWN,,1
0.49,A,56950,RENT,,1
0.25,C,12000,OWN,13.61,1
0.43,A,65000,RENT,7.9,1
0.33,A,85000,RENT,7.49,1
0.51,A,12000,OWN,7.51,1
0.32,B,88000,RENT,9.91,1
0.35,C,12000,OWN,13.48,1
0.4,A,12000,OWN,7.14,1
0.34,D,83004,RENT,15.99,1
0.07,C,250000,RENT,12.98,0
0.02,C,250000,RENT,13.57,0
0.28,B,100000,RENT,12.69,0
0.25,A,110000,RENT,8.9,0
0.23,A,12000,OWN,,1
0.26,B,108000,RENT,,1
0.19,B,151200,RENT,11.11,0
0.4,A,69000,RENT,,1
0.27,E,12000,MORTGAGE,15.68,1
0.39,C,70000,RENT,13.06,1
0.1,B,240000,OWN,,0
0.37,D,73200,RENT,15.62,1
0.33,C,83000,RENT,13.49,1
0.37,D,73399,RENT,,1
0.42,B,62500,RENT,11.71,1
0.21,B,120000,RENT,12.69,0
0.13,C,12360,OWN,13.57,0
0.42,B,60000,RENT,10.99,1
0.09,C,234000,MORTGAGE,14.27,0
0.09,B,234000,OWN,8.88,0
0.09,B,234000,MORTGAGE,12.18,0
0.05,D,221004,MORTGAGE,14.42,1
0.11,C,232500,MORTGAGE,14.17,0
0.15,C,230000,MORTGAGE,13.99,0
0.3,B,83000,RENT,10.99,1
0.16,A,12600,MORTGAGE,5.42,1
0.14,C,12600,OWN,13.61,0
0.59,C,42500,RENT,12.73,1
0.61,D,41000,RENT,,1
0.23,C,12816,OWN,12.87,1
0.28,B,12960,MORTGAGE,9.91,1
0.09,B,226000,MORTGAGE,11.49,0
0.13,E,225000,MORTGAGE,19.91,0
0.16,B,213000,MORTGAGE,10.65,1
0.03,B,225000,RENT,,0
0.35,B,12960,MORTGAGE,11.83,1
0.18,C,12996,OWN,13.49,1
0.6,D,42000,RENT,14.59,1
0.52,B,48000,RENT,9.64,1
